year,quarter,sum_kg,sum_m2,count_kelp,count_cloud_free,count
2010,2,4624442,797094,3852,10135,10140
2010,3,2905759,510037,2939,10140,10140
2010,4,832332,153588,2023,10138,10140
2011,1,280249,52547,1102,10138,10140
2011,2,655638,112506,1044,10132,10140
2011,3,1125947,193065,1041,10134,10140
2011,4,728645,129610,1104,10138,10140
2012,1,833422,147518,1256,10125,10140
2012,2,1095961,197263,1442,10111,10140
2012,3,274658,48686,466,10101,10140
2012,4,350307,65581,982,10133,10140
2013,1,2490958,450303,2562,10131,10140
2013,2,3072042,527474,3218,10138,10140
2013,3,1352688,230262,1146,10128,10140
2013,4,1126339,201018,2247,10137,10140
2014,1,839071,153296,1894,10140,10140
2014,2,1061594,182614,1592,10129,10140
2014,3,339239,58255,426,10128,10140
2014,4,53831,9172,123,10122,10140
2015,1,150528,26466,280,10130,10140
2015,2,961604,159595,985,10138,10140
2015,3,554911,91405,593,10136,10140
2015,4,8986,1444,14,10104,10140
2016,1,2101147,363756,1784,10133,10140
2016,2,5398080,874616,3081,10133,10140
2016,3,644064,112084,873,10121,10140
2016,4,1497573,259950,2444,10138,10140
2017,1,2191042,393296,2075,10052,10140
2017,2,3339795,555898,3206,10135,10140
2017,3,997125,165916,794,10115,10140
2017,4,278920,50267,861,10140,10140
2018,1,2810681,497192,3645,10140,10140
2018,2,5421573,904626,3495,10136,10140
2018,3,940349,149018,727,10137,10140
2018,4,44191,7957,190,10139,10140
2019,1,691109,122659,890,10101,10140
2019,2,1754567,292027,1158,10014,10140
2019,3,2688816,236677,1671,10119,10140
2019,4,413182,75547,1441,10140,10140
2020,1,1679566,295561,2185,10140,10140
2020,2,1439216,242961,1326,10132,10140
2020,3,848128,146415,1051,10118,10140
2020,4,,,0,0,10140
